"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Dịch vụ Amazon Simple Pay xác nhận chụp lại thanh toán. Hóa đơn sẽ được tạo tự động."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả thanh toán. Hoàn tiền %s được tạo tự động sau khi xác nhận."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả thanh toán. Hoàn tiền được tạo tự động."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả thanh toán. Hoàn tiền được tạo tự động."
"Amazon Simple Pay service has confirmed refund.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả. Hoàn tiền được thực hiện tự động."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả biên bản ghi nhớ tín dụng %s. Hoàn tiền sẽ được thực hiện tự động."
"Amazon Simple Pay service is not available. Payment was not processed.","Dịch vụ Amazon Simple Pay không khả dụng. Thanh toán chưa được thực hiện."
"Amazon Simple Pay service payment confirmation has failed.","Xác nhận thanh toán dịch vụ Amazon Simple Pay thất bại."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả lỗi: số tiền trong biên bản ghi nhớ hiện tại không khớp với số tiền trong yêu cầu xác nhận."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả lỗi: số lượng yêu cầu xác nhận không khớp với số lượng đơn hàng."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả lỗi : ID giao dịch trong biên bản ghi nhớ tín dụng không khớp với ID giao dịch trong yêu cầu xác nhận."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và ghi nhớ"
"Cancel Description","Chi tiết hủy bỏ"
"Cancel Order Notification received from Checkout by Amazon service.","Hủy bỏ Thông báo Đặt hàng từ trang Checkout của dịch vụ Amazon."
"Checkout by Amazon","Checkout bởi Amazon"
"Continue Shopping","Tiếp tục mua sắm"
"Customer was redirected to Amazon Simple Pay site","Khách hàng được chuyển hướng đến trang Amazon Simple Pay"
"Debug","Khắc phục lỗi"
"Debug Log","Nhật ký khắc phục lỗi"
"Email Sender","Người gửi mail"
"Enable","Cho phép"
"Error Log","Biên bản ghi lỗi"
"FPS Sandbox Service URI","FPS Dịch vụ Sandbox URI"
"FPS Service URI","FPS Dịch vụ URI"
"Immediate Return","Ngay lập tức quay trở lại"
"Invalid action code.","Mã hoạt động không đúng ."
"Invalid request.","Yêu cầu không đúng."
"Invoice was created with Checkout by Amazon.","Hóa đơn được tạo bởi dịch vụ Checkout của Amazon."
"Merchant ID","ID Người bán"
"Merchant Login","Người bán đăng nhập"
"Merchant Name","Tên Người bán"
"Merchant Password","Mật khẩu người bán"
"Merchant Token","Token người bán"
"Method Choice Checkout Message","Phương pháp chọn lựa tin nhắn thanh toán"
"New Order Notification received from Checkout by Amazon service.","Thông báo đơn hàng mới từ việc thanh toán bởi dịch vụ của Amazon."
"New Order Status","Tình trạng đơn hàng mới"
"Notification Error Transactional Email","Thông báo lỗi giao dịch email"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Thông báo về Đơn hàng sẵn sàng vận chuyển khi thanh toán bởi dịch vụ của Amazon."
"Order was canceled with Checkout by Amazon.","Đơn hàng bị hủy khi thanh toán bởi Amazon."
"Payment Action","Hoạt động thanh toán"
"Payment Description","Chi tiết thanh toán"
"Payment Sandbox Service URI","Dịch vụ thanh toán Sandbox URI"
"Payment Service URI","Dịch vụ thanh toán URI"
"Payment authorization canceled with Amazon Simple Pay service.","Ủy quyền thanh toán bị hủy bỏ bởi dịch vụ Amazon Simple Pay."
"Pending Amazon Simple Pay","Amazon Simple Pay chưa xử lý"
"Redirect Message","Chuyển tin nhắn"
"Refund Description","Chi tiết hoàn trả"
"Refund was created with Checkout by Amazon.","Hoàn trả được khởi tạo bởi dịch vụ Checkout của Amazon."
"Report Email","Email báo cáo"
"Report Error to Email","Báo cáo lỗi đến Email"
"Response body is not a valid FPS response.","Phản hồi chính không phải là phản hồi FPS đúng."
"SUCCESS","THÀNH CÔNG"
"Sandbox","Sandbox"
"Secret Key","Mã bí mật"
"Secret Key ID","ID Mã bí mật"
"Shipment was created with Checkout by Amazon.","Việc chuyển hàng được khởi tạo khi thanh toán bởi Amazon."
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","Khách hàng đã hủy bỏ thanh toán và quay trở lại trang Amazon Simple Pay thành công"
"The customer has successfully returned from Amazon Simple Pay site","Khách hàng đã quay trở lại trang Amazon Simple Pay thành công"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","Hóa đơn đã được tạo (online capture). Chờ xác nhận chụp từ dịch vụ Amazon Simple Pay."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","Hóa đơn không được hoàn trả. Dịch vụ Amazon Simple Pay lỗi: [%s] %s"
"The item specified in callback request XML was not found in quote.","Mục quy định trong yêu cầu callback XML không được tìm thấy trong mục."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","Đơn hàng chưa hủy bỏ. Dịch vụ Amazon Simple Pay lỗi: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","Đơn hàng chưa được chụp lại trực tuyến. Yêu cầu xác nhận ủy quyền."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","Đơn hàng chưa được chụp lại. Dịch vụ Amazon Simple Pay lỗi: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","Việc thanh toán được thực hiện trực tuyến với dịch vụ Amazon Simple Pay. Hóa đơn đã được tạo. Đang chờ xác nhận từ dịch vụ thanh toán."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","Thanh toán được hoàn trả trực tuyến bởi dịch vụ Amazon Simple Pay. Hoàn tiền được tạo. Chờ xác nhận hoàn trả từ dịch vụ Amazon Simple Pay."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","Thanh toán được hoàn trả trực tuyến. Chờ xác nhận hoàn trả từ dịch vụ Amazon Simple Pay."
"The request is not a valid IPN request.","Yêu cầu này không phải là yêu cầu IPN đúng."
"The request was signed incorrectly or the signature is missing.","Yêu cầu sai chữ ký hoặc thiếu chữ ký."
"Title","Tiêu đề"
"Use Callback API","Sử dụng Callback API"
"You will be redirected to Checkout by Amazon in a few seconds.","Ban sẽ được chuyển hướng đến trang Checkout của Amazon trong giây lát."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Bạn sẽ nhận được một email xác nhận đơn hàng cùng với thông tin chi tiết đặt hàng và liên kết theo dõi tiến trình."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","Bạn sẽ nhận được một email xác nhận đơn hàng cùng với thông tin chi tiết đặt hàng và liên kết theo dõi tiến trình.<br/>"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Địa chỉ thanh toán bị bỏ qua và bạn sẽ được chuyển hướng đến trang Checkout của Amazon."
"Your order has been received.","Đơn hàng của bạn đã được chấp nhận."
