" Copy"," Sao chép"
"Recipients","Người nhận"
"Reset","Thiết lập lại"
"Resume","Tóm tắt"
"Return HTML Version","Trở về phiên bản HTML"
"Save As","Lưu dưới dạng"
"Save Newsletter","Lưu bản tin"
"Save Template","Lưu mẫu"
"Save and Resume","Lưu và tóm tắt"
"Selected problem subscribers have been unsubscribed.","Đăng ký được chọn đã bị hủy."
"Selected problems have been deleted.","Vấn đề được lựa chọn đã bị xóa."
"Sender","Người gửi"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
"Sending","Đang gửi"
"Sent","Đã gửi"
"Sign Up for Our Newsletter:","Đăng ký nhận bản tin của chúng tôi:"
"Sign up for our newsletter","Đăng ký nhận bản tin của chúng tôi"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Xin lỗi, nhưng hệ thống từ chối đăng ký dành cho khách. Vui lòng <a href=""%s"">đăng ký</a>."
"Start","Bắt đầu"
"Status","Tình trạng"
"Store","Cửa hàng"
"Store View","Cửa hàng"
"Subject","Chủ đề"
"Submit","Gửi"
"Subscribe","Đăng ký"
"Subscribed","Đã đăng ký"
"Subscriber","Người đăng ký"
"Subscribers","Những người đăng ký"
"Subscribers From","Người đăng ký từ"
"Subscription Options","Tùy chọn đăng ký"
"Success Email Sender","Gửi email thành công"
"Success Email Template","Mẫu email thành công"
"Template Content","Nội dung mẫu"
"Template Information","Thông tin mẫu"
"Template Name","Tên mẫu"
"Template Styles","Định dạng mẫu"
"Template Subject","Chủ đề mẫu"
"Template Type","Loại mẫu"
"Thank you for your subscription.","Cảm ơn bạn đã đăng ký theo dõi."
"The subscription has been removed.","Đăng ký đã bị xóa."
"The subscription has been saved.","Thông tin đăng ký đã được lưu lại."
"There was a problem with the subscription.","Có vấn đề xảy ra khi đăng ký."
"There was a problem with the subscription: %s","Có vấn đề xảy ra khi đăng ký: %s"
"There was a problem with the un-subscription.","Có vấn đề xảy ra khi hủy đăng ký."
"This email address is already assigned to another user.","Địa chỉ email này đã được đăng ký."
"Type","Loại"
"Unconfirmed","Chưa được xác nhận"
"Unsubscribe","Hủy đăng ký"
"Unsubscribe Selected","Đã chọn hủy đăng ký"
"Unsubscribed","Đã hủy đăng ký"
"Unsubscription Email Sender","Gửi email hủy đăng ký"
"Unsubscription Email Template","Mẫu email hủy đăng ký"
"View Newsletter","Xem bản tin"
"Website","Website"
"You have been unsubscribed.","Bạn đã hủy đăng ký."
"Your subscription has been confirmed.","Đăng ký của bạn đã được xác nhận."
