"3D Secure","An toàn 3D"
"Payment refunding error.","Lỗi khi hoàn tiền thanh toán."
"Payment updating error.","Lỗi cập nhật thanh toán."
"Payment voiding error.","Lỗi từ chối thanh toán."
"Processed Amount","Số tiền đã xử lý"
"Remaining Balance","Số dư còn lại"
"Severe 3D Secure Card Validation","Xác nhận chặt chẽ bảo mật thẻ 3D "
"Severe Validation Removes Chargeback Liability on Merchant","Xác nhận loại bỏ trách nhiệm pháp lý bồi hoàn đối với người bán"
"Shopping cart contents and/or address has been changed.","Nội dung giỏ hàng và/ hoặc địa chỉ đã được thay đổi."
"Sort Order","Sắp xếp đơn hàng"
"Test Mode","Chế độ kiểm tra"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Số tiền trong thẻ tín dụng của bạn không đủ để hoàn thành việc mua hàng. Số tiền của bạn đã được hoàn trả lại. Để hoàn tất thanh toán vào OK và chọn thêm số thẻ tín dụng khác. Để hủy bỏ việc mua hàng và giữ lại tiền, nhấn Hủy bỏ."
"There was an error canceling transactions. Please contact us or try again later.","Đã có lỗi khi hủy giao dịch. Hãy liên hệ với chúng tôi hoặc thử lại sau."
"Title","Tiêu đề"
"Transaction Key","Chìa khóa giao dịch"
"You have reached the maximum number of credit card allowed to be used for the payment.","Bạn đã đạt đến số tiền tối đa của thẻ tín dụng được phép sử dụng để thanh toán."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Bạn đã đạt đến số tiền tối đa của thẻ tín dụng được phép sử dụng cho một thanh toán. Số tiền hiện tại không đủ để thực hiện giao dịch. Thanh toán đã bị hủy và số tiền đã được hoàn trả lại"
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Thẻ tín dụng của bạn đã bị từ chối. Nhấn OK để chọn thêm một thẻ tín dụng để hoàn thành việc mua hàng của bạn. Nhấp vào Hủy bỏ để hoàn lại tiền và chọn phương pháp thanh toán khác."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Đơn hàng của bạn đã không được đặt, bởi vì nội dung của giỏ hàng và/hoặc địa chỉ mua sắm đã được thay đổi. Số tiền được ủy quyền từ thanh toán đang xử lý trước đó đã được hoàn trả. Hãy xem lại quá trình thanh toán để kiểm tra nội dung giỏ hàng gần đây của bạn."
"Your payment has been cancelled. All authorized amounts have been released.","Thanh toán của bạn đã bị hủy. Tất cả số tiền đã ủy quyền đã được hoàn trả."
"amount %s","số tiền %s"
"authorize","ủy quyền"
"authorize and capture","ủy quyền và xác nhận giao dịch"
"capture","xác nhận giao dịch"
"failed","thất bại"
"refund","hoàn tiền"
"successful","thành công"
"void","hủy"
