"%s file does not exists or is not readable","%s tệp không tồn tại hoặc không đọc được"
"-- Please Select --","-- Vui lòng chọn --"
"Invalid seek position","Vị trí tìm kiếm không hợp lệ"
"Invalid value for '%s'","Giá trị không hợp lệ cho '%s'"
"Invalid value for '%s' column","Giá trị không hợp lệ cho cột '%s'"
"No filter data provided","Không có dữ liệu lọc"
"No source specified","Không xác định được nguồn"
"No valid data sent","Không có dữ liệu hợp lệ được gửi đi"
"No writer specified","Không xác định được tác giả"
"Node does not has model token tag","Nút không có thẻ token mẫu"
"Not implemented yet","Chưa áp dụng"
"Please fix errors and re-upload file","Vui lòng sửa lỗi và tải lại tệp"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Vui lòng sửa lỗi và tải lại tệp hoặc nhấn nút ""Nhập vào"" để bỏ qua các hàng có lỗi"
"Products","Sản phẩm"
"Replace Existing Complex Data","Thay thế toàn bộ dữ liệu hiện có"
"Select File to Import","Chọn tệp tải lên"
"Skip","Bỏ qua"
"Source file moving failed","Di chuyển tệp nguồn thất bại"
"Source file path must be a string","Đường dẫn tệp nguồn phải là chuỗi ký tự"
"Source is not set","Nguồn không được thiết lập"
"Status","Tình trạng"
"There are no product types available for export","Không có loại sản phẩm nào để truy xuất"
"There is no data for export","Không có dữ liệu để truy xuất"
"To","Đến"
"Total size of uploadable files must not exceed %s","Tổng kích thước tệp tải lên không được vượt quá %s"
"Unknown attribute filter type","Loại bộ lọc thuộc tính không rõ"
"Uploaded file has no extension","Tải lên tệp không có tiện ích"
"Validation finished successfully","Xác thực thành công"
"in rows","trong hàng"
"in rows:","trong hàng:"
